Test  | A*        | A* time   | A* len    | D* Lite   | D* time   | D* len    
743   | Path found| 0.268     | 44        | Path found| 1.297     | 44        
744   | Path found| 0.242     | 43        | Path found| 2.177     | 43        
745   | Path found| 0.347     | 48        | Path found| 2.277     | 48        
746   | Path found| 0.097     | 16        | Path found| 0.525     | 16        
747   | Path found| 0.242     | 41        | Path found| 1.883     | 41        
748   | Path found| 0.709     | 56        | Path found| 3.306     | 56        
749   | Path found| 0.212     | 39        | Path found| 1.657     | 39        
750   | Path found| 0.165     | 29        | Path found| 1.159     | 29        
751   | Path found| 0.183     | 28        | Path found| 0.941     | 28        
752   | Path found| 0.243     | 40        | Path found| 1.584     | 40        
753   | Path found| 0.268     | 52        | Path found| 2.334     | 52        
754   | Path found| 0.188     | 35        | Path found| 1.437     | 35        
755   | Path found| 0.281     | 48        | Path found| 2.127     | 48        
756   | Path found| 0.076     | 18        | Path found| 0.338     | 18        
757   | Path found| 0.079     | 16        | Path found| 0.375     | 16        
758   | Path found| 0.061     | 13        | Path found| 0.287     | 13        
759   | Path found| 0.425     | 59        | Path found| 3.255     | 59        
760   | Path found| 0.286     | 38        | Path found| 1.847     | 38        
761   | Path found| 0.120     | 21        | Path found| 0.652     | 21        
762   | Path found| 0.078     | 19        | Path found| 0.350     | 19        
763   | Path found| 0.436     | 67        | Path found| 4.572     | 67        
764   | Path found| 1.135     | 77        | Path found| 6.337     | 77        
765   | Path found| 0.097     | 18        | Path found| 0.378     | 18        
766   | Path found| 0.270     | 45        | Path found| 1.813     | 45        
767   | Path found| 0.195     | 38        | Path found| 1.425     | 38        
768   | Path found| 0.613     | 50        | Path found| 2.617     | 50        
769   | Path found| 0.125     | 28        | Path found| 0.634     | 28        
770   | Path found| 0.288     | 39        | Path found| 1.665     | 39        
771   | Path found| 0.199     | 45        | Path found| 1.250     | 45        
772   | Path found| 0.253     | 48        | Path found| 2.284     | 48        
773   | Path found| 0.367     | 58        | Path found| 3.534     | 58        
774   | Path found| 0.070     | 11        | Path found| 0.315     | 11        
775   | Path found| 0.067     | 13        | Path found| 0.342     | 13        
776   | Path found| 0.215     | 45        | Path found| 2.379     | 45        
777   | Path found| 0.248     | 39        | Path found| 1.520     | 39        
778   | Path found| 0.097     | 18        | Path found| 0.605     | 18        
779   | Path found| 0.141     | 31        | Path found| 0.838     | 31        
780   | Path found| 0.064     | 14        | Path found| 0.299     | 14        
781   | Path found| 0.187     | 50        | Path found| 2.367     | 50        
782   | Path found| 0.134     | 33        | Path found| 0.494     | 33        
783   | Path found| 0.146     | 30        | Path found| 0.481     | 30        
784   | Path found| 0.135     | 30        | Path found| 1.012     | 30        
785   | Path found| 0.050     | 13        | Path found| 0.233     | 13        
786   | Path found| 0.250     | 50        | Path found| 2.706     | 50        
787   | Path found| 0.470     | 50        | Path found| 1.664     | 50        
788   | Path found| 0.124     | 20        | Path found| 0.609     | 20        
789   | Path found| 0.107     | 29        | Path found| 0.690     | 29        
790   | Path found| 0.059     | 11        | Path found| 0.266     | 11        
791   | Path found| 0.270     | 45        | Path found| 1.073     | 45        
792   | Path found| 0.142     | 26        | Path found| 0.893     | 26        
793   | Path found| 0.311     | 43        | Path found| 1.387     | 43        
794   | Path found| 0.105     | 18        | Path found| 0.424     | 18        
795   | Path found| 0.107     | 21        | Path found| 0.543     | 21        
796   | Path found| 0.375     | 51        | Path found| 1.839     | 51        
797   | Path found| 0.088     | 18        | Path found| 0.494     | 18        
798   | Path found| 0.112     | 22        | Path found| 0.619     | 22        
799   | Path found| 0.098     | 30        | Path found| 0.521     | 30        
800   | Path found| 0.127     | 24        | Path found| 0.622     | 24        
801   | Path found| 0.145     | 30        | Path found| 0.752     | 30        
802   | Path found| 0.057     | 11        | Path found| 0.281     | 11        
803   | Path found| 0.112     | 23        | Path found| 0.522     | 23        
804   | Path found| 0.485     | 49        | Path found| 1.292     | 49        
805   | Path found| 0.387     | 55        | Path found| 3.272     | 55        
806   | Path found| 0.131     | 28        | Path found| 1.050     | 28        
807   | Path found| 0.149     | 33        | Path found| 1.305     | 33        
808   | Path found| 0.365     | 47        | Path found| 1.101     | 47        
809   | Path found| 0.177     | 40        | Path found| 1.913     | 40        
810   | Path found| 0.075     | 14        | Path found| 0.464     | 14        
811   | Path found| 0.945     | 67        | Path found| 4.670     | 67        
812   | Path found| 0.060     | 13        | Path found| 0.242     | 13        
813   | Path found| 0.191     | 32        | Path found| 0.866     | 32        
814   | Path found| 0.213     | 34        | Path found| 1.190     | 34        
815   | Path found| 0.216     | 36        | Path found| 0.994     | 36        
816   | Path found| 0.178     | 31        | Path found| 1.113     | 31        
817   | Path found| 0.077     | 20        | Path found| 0.316     | 20        
818   | Path found| 0.125     | 36        | Path found| 1.435     | 36        
819   | Path found| 0.270     | 47        | Path found| 1.507     | 47        
820   | Path found| 0.121     | 26        | Path found| 0.403     | 26        
821   | Path found| 0.186     | 40        | Path found| 1.164     | 40        
822   | Path found| 0.147     | 31        | Path found| 0.769     | 31        
823   | Path found| 0.168     | 33        | Path found| 1.323     | 33        
824   | Path found| 0.550     | 68        | Path found| 4.810     | 68        
825   | Path found| 0.567     | 59        | Path found| 2.164     | 59        
826   | Path found| 0.192     | 38        | Path found| 1.029     | 38        
827   | Path found| 0.242     | 42        | Path found| 2.013     | 42        
828   | Path found| 0.255     | 47        | Path found| 2.459     | 47        
829   | Path found| 0.103     | 20        | Path found| 0.431     | 20        
830   | Path found| 0.096     | 19        | Path found| 0.365     | 19        
831   | Path found| 0.470     | 53        | Path found| 3.006     | 53        
832   | Path found| 0.211     | 31        | Path found| 1.249     | 31        
833   | Path found| 0.206     | 32        | Path found| 0.956     | 32        
834   | Path found| 0.051     | 13        | Path found| 0.238     | 13        
835   | Path found| 0.091     | 20        | Path found| 0.428     | 20        
836   | Path found| 0.209     | 32        | Path found| 1.244     | 32        
837   | Path found| 0.112     | 18        | Path found| 0.617     | 18        
838   | Path found| 0.214     | 42        | Path found| 1.525     | 42        
839   | Path found| 0.091     | 15        | Path found| 0.384     | 15        
840   | Path found| 0.088     | 16        | Path found| 0.417     | 16        
841   | Path found| 0.079     | 14        | Path found| 0.369     | 14        
842   | Path found| 0.312     | 37        | Path found| 1.506     | 37        
843   | Path found| 0.134     | 23        | Path found| 0.684     | 23        
844   | Path found| 0.373     | 52        | Path found| 2.386     | 52        
845   | Path found| 0.096     | 19        | Path found| 0.580     | 19        
846   | Path found| 0.438     | 41        | Path found| 0.692     | 41        
847   | Path found| 0.093     | 17        | Path found| 0.256     | 17        
848   | Path found| 0.180     | 29        | Path found| 0.912     | 29        
849   | Path found| 0.072     | 14        | Path found| 0.381     | 14        
850   | Path found| 0.315     | 45        | Path found| 2.072     | 45        
851   | Path found| 0.174     | 38        | Path found| 1.521     | 38        
852   | Path found| 0.133     | 21        | Path found| 0.467     | 21        
853   | Path found| 0.124     | 24        | Path found| 0.496     | 24        
854   | Path found| 0.065     | 18        | Path found| 0.262     | 18        
855   | Path found| 0.472     | 64        | Path found| 3.781     | 64        
856   | Path found| 0.397     | 48        | Path found| 1.363     | 48        
857   | Path found| 0.136     | 32        | Path found| 0.849     | 32        
858   | Path found| 0.094     | 19        | Path found| 0.427     | 19        
859   | Path found| 0.086     | 16        | Path found| 0.469     | 16        
860   | Path found| 0.080     | 12        | Path found| 0.392     | 12        
861   | Path found| 0.053     | 10        | Path found| 0.264     | 10        
862   | Path found| 0.438     | 59        | Path found| 3.746     | 59        
863   | Path found| 0.158     | 33        | Path found| 1.194     | 33        
864   | Path found| 0.099     | 19        | Path found| 0.545     | 19        
865   | Path found| 0.132     | 30        | Path found| 0.993     | 30        
866   | Path found| 0.093     | 27        | Path found| 0.404     | 27        
867   | Path found| 0.619     | 64        | Path found| 2.487     | 64        
868   | Path found| 0.235     | 35        | Path found| 1.271     | 35        
869   | Path found| 0.088     | 23        | Path found| 0.386     | 23        
870   | Path found| 0.109     | 37        | Path found| 0.674     | 37        
871   | Path found| 0.467     | 50        | Path found| 2.548     | 50        
872   | Path found| 0.094     | 16        | Path found| 0.487     | 16        
873   | Path found| 0.068     | 12        | Path found| 0.366     | 12        
874   | Path found| 0.241     | 34        | Path found| 1.328     | 34        
875   | Path found| 0.318     | 39        | Path found| 0.916     | 39        
876   | Path found| 0.427     | 47        | Path found| 2.483     | 47        
877   | Path found| 0.446     | 48        | Path found| 1.267     | 48        
878   | Path found| 0.146     | 24        | Path found| 0.790     | 24        
879   | Path found| 0.107     | 17        | Path found| 0.575     | 17        
880   | Path found| 0.079     | 16        | Path found| 0.382     | 16        
881   | Path found| 0.115     | 20        | Path found| 0.415     | 20        
882   | Path found| 0.242     | 42        | Path found| 1.848     | 42        
883   | Path found| 0.104     | 20        | Path found| 0.460     | 20        
884   | Path found| 0.131     | 26        | Path found| 0.718     | 26        
885   | Path found| 0.568     | 50        | Path found| 2.082     | 50        
886   | Path found| 0.127     | 19        | Path found| 0.589     | 19        
887   | Path found| 0.335     | 61        | Path found| 3.687     | 61        
888   | Path found| 0.154     | 29        | Path found| 0.822     | 29        
889   | Path found| 0.066     | 10        | Path found| 0.308     | 10        
890   | Path found| 0.061     | 10        | Path found| 0.321     | 10        
891   | Path found| 0.146     | 32        | Path found| 1.045     | 32        
892   | Path found| 0.500     | 58        | Path found| 2.290     | 58        
893   | Path found| 0.183     | 30        | Path found| 1.158     | 30        
894   | Path found| 0.143     | 35        | Path found| 0.624     | 35        
895   | Path found| 0.097     | 24        | Path found| 0.393     | 24        
896   | Path found| 0.370     | 47        | Path found| 2.477     | 47        
897   | Path found| 0.286     | 50        | Path found| 1.502     | 50        
898   | Path found| 0.441     | 51        | Path found| 2.763     | 51        
899   | Path found| 0.332     | 41        | Path found| 1.413     | 41        
900   | Path found| 0.212     | 38        | Path found| 0.805     | 38        
901   | Path found| 0.344     | 42        | Path found| 2.080     | 42        
902   | Path found| 0.071     | 13        | Path found| 0.383     | 13        
903   | Path found| 0.224     | 36        | Path found| 1.264     | 36        
904   | Path found| 0.174     | 42        | Path found| 1.223     | 42        
905   | Path found| 0.793     | 70        | Path found| 5.063     | 70        
906   | Path found| 0.235     | 41        | Path found| 1.470     | 41        
907   | Path found| 0.197     | 42        | Path found| 1.009     | 42        
908   | Path found| 0.064     | 12        | Path found| 0.333     | 12        
909   | Path found| 0.129     | 28        | Path found| 0.637     | 28        
910   | Path found| 0.190     | 43        | Path found| 1.677     | 43        
911   | Path found| 0.080     | 17        | Path found| 0.499     | 17        
912   | Path found| 0.066     | 15        | Path found| 0.315     | 15        
913   | Path found| 0.095     | 15        | Path found| 0.463     | 15        
914   | Path found| 0.206     | 32        | Path found| 1.277     | 32        
915   | Path found| 0.070     | 12        | Path found| 0.376     | 12        
916   | Path found| 0.304     | 61        | Path found| 3.683     | 61        
917   | Path found| 0.123     | 34        | Path found| 0.597     | 34        
918   | Path found| 0.154     | 38        | Path found| 1.808     | 38        
919   | Path found| 0.067     | 11        | Path found| 0.348     | 11        
920   | Path found| 0.071     | 12        | Path found| 0.340     | 12        
921   | Path found| 0.329     | 53        | Path found| 2.989     | 53        
922   | Path found| 0.291     | 48        | Path found| 2.090     | 48        
923   | Path found| 0.169     | 31        | Path found| 0.988     | 31        
924   | Path found| 0.203     | 30        | Path found| 0.984     | 30        
925   | Path found| 0.103     | 19        | Path found| 0.571     | 19        
926   | Path found| 0.071     | 17        | Path found| 0.324     | 17        
927   | Path found| 0.090     | 15        | Path found| 0.462     | 15        
928   | Path found| 0.165     | 37        | Path found| 0.786     | 37        
929   | Path found| 0.151     | 22        | Path found| 0.725     | 22        
930   | Path found| 0.213     | 42        | Path found| 0.944     | 42        
931   | Path found| 0.137     | 24        | Path found| 0.628     | 24        
932   | Path found| 0.187     | 36        | Path found| 0.980     | 36        
933   | Path found| 0.071     | 10        | Path found| 0.320     | 10        
934   | Path found| 0.557     | 52        | Path found| 2.027     | 52        
935   | Path found| 0.133     | 22        | Path found| 0.773     | 22        
936   | Path found| 0.386     | 47        | Path found| 1.194     | 47        
937   | Path found| 0.095     | 28        | Path found| 0.434     | 28        
938   | Path found| 0.086     | 13        | Path found| 0.396     | 13        
939   | Path found| 0.190     | 27        | Path found| 0.927     | 27        
940   | Path found| 0.126     | 28        | Path found| 1.120     | 28        
941   | Path found| 0.333     | 55        | Path found| 2.989     | 55        
942   | Path found| 0.174     | 31        | Path found| 0.937     | 31        
943   | Path found| 0.270     | 35        | Path found| 1.103     | 35        
944   | Path found| 0.142     | 48        | Path found| 0.784     | 48        
945   | Path found| 0.109     | 28        | Path found| 0.423     | 28        
946   | Path found| 0.417     | 54        | Path found| 3.095     | 54        
947   | Path found| 0.101     | 25        | Path found| 0.399     | 25        
948   | Path found| 0.095     | 27        | Path found| 0.593     | 27        
949   | Path found| 0.358     | 39        | Path found| 1.738     | 39        
950   | Path found| 0.088     | 17        | Path found| 0.410     | 17        
951   | Path found| 0.110     | 20        | Path found| 0.647     | 20        
952   | Path found| 0.119     | 21        | Path found| 0.630     | 21        
953   | Path found| 0.415     | 52        | Path found| 1.283     | 52        
954   | Path found| 0.346     | 47        | Path found| 2.014     | 47        
955   | Path found| 0.065     | 11        | Path found| 0.290     | 11        
956   | Path found| 0.126     | 30        | Path found| 0.577     | 30        
957   | Path found| 0.321     | 56        | Path found| 3.160     | 56        
958   | Path found| 0.687     | 55        | Path found| 2.233     | 55        
959   | Path found| 0.101     | 18        | Path found| 0.536     | 18        
960   | Path found| 0.161     | 39        | Path found| 1.035     | 39        
961   | Path found| 0.096     | 28        | Path found| 0.803     | 28        
962   | Path found| 0.102     | 21        | Path found| 0.669     | 21        
963   | Path found| 0.083     | 16        | Path found| 0.380     | 16        
964   | Path found| 0.206     | 50        | Path found| 2.677     | 50        
965   | Path found| 0.136     | 26        | Path found| 0.876     | 26        
966   | Path found| 0.198     | 43        | Path found| 1.435     | 43        
967   | Path found| 0.071     | 11        | Path found| 0.309     | 11        
968   | Path found| 0.906     | 74        | Path found| 5.634     | 74        
969   | Path found| 0.066     | 10        | Path found| 0.329     | 10        
970   | Path found| 0.669     | 54        | Path found| 3.010     | 54        
971   | Path found| 0.084     | 15        | Path found| 0.437     | 15        
972   | Path found| 0.214     | 47        | Path found| 2.217     | 47        
973   | Path found| 0.227     | 38        | Path found| 1.877     | 38        
974   | Path found| 0.451     | 43        | Path found| 1.488     | 43        
975   | Path found| 0.106     | 16        | Path found| 0.547     | 16        
976   | Path found| 0.263     | 36        | Path found| 1.260     | 36        
977   | Path found| 0.190     | 30        | Path found| 0.982     | 30        
978   | Path found| 0.122     | 35        | Path found| 1.211     | 35        
979   | Path found| 0.251     | 31        | Path found| 1.212     | 31        
980   | Path found| 0.312     | 41        | Path found| 0.993     | 41        
981   | Path found| 0.336     | 37        | Path found| 1.575     | 37        
982   | Path found| 0.106     | 17        | Path found| 0.476     | 17        
983   | Path found| 0.417     | 63        | Path found| 3.088     | 63        
984   | Path found| 0.150     | 36        | Path found| 0.993     | 36        
985   | Path found| 0.222     | 32        | Path found| 1.206     | 32        
986   | Path found| 0.068     | 13        | Path found| 0.282     | 13        
987   | Path found| 0.462     | 44        | Path found| 2.055     | 44        
988   | Path found| 0.436     | 46        | Path found| 1.884     | 46        
989   | Path found| 0.070     | 21        | Path found| 0.386     | 21        
990   | Path found| 0.380     | 52        | Path found| 1.609     | 52        
991   | Path found| 0.166     | 38        | Path found| 0.916     | 38        
992   | Path found| 0.463     | 55        | Path found| 1.443     | 55        
993   | Path found| 0.236     | 46        | Path found| 2.237     | 46        
994   | Path found| 0.091     | 15        | Path found| 0.432     | 15        
995   | Path found| 0.147     | 33        | Path found| 0.832     | 33        
996   | Path found| 0.180     | 46        | Path found| 0.644     | 46        
997   | Path found| 0.212     | 31        | Path found| 1.047     | 31        
